phase,url,template,run_date,environment,lighthouse_version,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,requests,lcp_ms,inp_ms,cls,ttfb_ms,source,notes
after,http://127.0.0.1:4178/blog/glowing-neon-icon-json-prompt/,article,2026-09-16,local Playwright Chromium / Lighthouse CLI,13.4.1,16860,146701,28439,43111,876624,14,6935.5,NOT AVAILABLE — LAB DATA,0.0295,2,lighthouse-after-article.json.gz,Scores performance=0.61; accessibility=1.00; best-practices=1.00; seo=1.00. Local lab run; not field data.
after,http://127.0.0.1:4178/,home,2026-09-16,local Playwright Chromium / Lighthouse CLI,13.4.1,14544,146698,28439,875170,487806,17,7176.7,NOT AVAILABLE — LAB DATA,0,24,lighthouse-after-home.json.gz,Scores performance=0.64; accessibility=1.00; best-practices=1.00; seo=1.00. Local lab run; not field data.
after,http://127.0.0.1:4178/writing/,writing,2026-09-16,local Playwright Chromium / Lighthouse CLI,13.4.1,7420,146693,28439,237386,375777,12,5121.9,NOT AVAILABLE — LAB DATA,0.0134,1,lighthouse-after-writing.json.gz,Scores performance=0.71; accessibility=1.00; best-practices=1.00; seo=1.00. Local lab run; not field data.
baseline,http://127.0.0.1:4179/blog/glowing-neon-icon-json-prompt/,article,2026-09-16,local Playwright Chromium / Lighthouse CLI,13.4.1,16590,145559,28439,43111,876632,14,7020.8,NOT AVAILABLE — LAB DATA,0,1,lighthouse-baseline-article.json.gz,Scores performance=0.61; accessibility=1.00; best-practices=1.00; seo=1.00. Local lab run; not field data.
baseline,http://127.0.0.1:4179/,home,2026-09-16,local Playwright Chromium / Lighthouse CLI,13.4.1,14250,145556,28439,784725,487804,17,6701.3,NOT AVAILABLE — LAB DATA,0,11,lighthouse-baseline-home.json.gz,Scores performance=0.65; accessibility=1.00; best-practices=1.00; seo=1.00. Local lab run; not field data.
baseline,http://127.0.0.1:4179/writing/,writing,2026-09-16,local Playwright Chromium / Lighthouse CLI,13.4.1,7133,145556,28439,237386,375765,12,4696.0,NOT AVAILABLE — LAB DATA,0,2,lighthouse-baseline-writing.json.gz,Scores performance=0.73; accessibility=1.00; best-practices=1.00; seo=1.00. Local lab run; not field data.
